simulation_id,intersection_id,control_method,num_phases,seed,input1,input2,input3,input4,relflow1,relflow2,relflow3,relflow4,yellow_time,red_time,N_p,N_c,N_s,queue,delay,speed,calc_time,success_rate
1,1,Dan,4,1,700,700,700,700,1,1,1,1,1,1,5,2,5,17.2,14.8,34.2,0.22,1
2,1,Dan,8,1,700,700,700,700,1,1,1,1,1,1,5,2,5,13.4,12,35.9,0.32,1
3,1,Dan,17,1,700,700,700,700,1,1,1,1,1,1,5,2,5,15.1,13.2,35,0.92,1
4,1,Dan,4,1,700,700,700,700,2,2,2,2,1,1,5,2,5,15.4,13.1,35.2,0.35,1
5,1,Dan,8,1,700,700,700,700,2,2,2,2,1,1,5,2,5,12.2,11,36.5,0.24,1
6,1,Dan,17,1,700,700,700,700,2,2,2,2,1,1,5,2,5,14.7,12.2,35.7,0.55,1
7,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,5,2,5,19.6,15.9,33.7,0.42,1
8,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,5,2,5,18.8,14.9,34.1,0.47,1
9,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,5,2,5,18,14.1,34.5,0.91,1
10,1,Dan,4,1,700,700,700,700,4,4,4,4,1,1,5,2,5,15.2,13.3,35.4,0.19,1
11,1,Dan,8,1,700,700,700,700,4,4,4,4,1,1,5,2,5,14.1,12.7,35.8,0.37,1
12,1,Dan,17,1,700,700,700,700,4,4,4,4,1,1,5,2,5,14.4,12.1,35.6,0.78,1
13,1,Dan,4,1,700,700,700,700,5,5,5,5,1,1,5,2,5,26.6,21.2,30,0.65,1
14,1,Dan,8,1,700,700,700,700,5,5,5,5,1,1,5,2,5,15.7,12.8,35,0.42,1
15,1,Dan,17,1,700,700,700,700,5,5,5,5,1,1,5,2,5,15.5,12.2,35.5,0.6,1
16,1,Dan,4,1,700,700,700,700,6,6,6,6,1,1,5,2,5,11.4,11.3,37.2,0.19,1
17,1,Dan,8,1,700,700,700,700,6,6,6,6,1,1,5,2,5,10.3,10.3,38.3,0.24,1
18,1,Dan,17,1,700,700,700,700,6,6,6,6,1,1,5,2,5,7.7,7.7,40.4,0.5,1
19,1,Dan,4,1,700,700,700,700,7,7,7,7,1,1,5,2,5,19.6,15.6,32.9,0.48,1
20,1,Dan,8,1,700,700,700,700,7,7,7,7,1,1,5,2,5,16.4,12.7,35.2,0.43,1
21,1,Dan,17,1,700,700,700,700,7,7,7,7,1,1,5,2,5,14.2,12.5,36.2,0.68,1
