simulation_id,intersection_id,control_method,num_phases,seed,input1,input2,input3,input4,relflow1,relflow2,relflow3,relflow4,yellow_time,red_time,N_s,queue,delay
1,1,Dan,8,22,700,700,700,700,1,1,1,1,1,1,5,21.2481101525931,15.3247469629099
2,1,Dan,4,22,700,700,700,700,1,1,1,1,1,1,5,25.4036826451881,17.139672324479
3,1,Dan,17,22,700,700,700,700,1,1,1,1,1,1,5,22.5964904356955,15.9162321274521
4,1,Dan,4,22,700,700,700,700,2,2,2,2,1,1,5,29.7333593317924,18.3255328817498
5,1,Dan,8,22,700,700,700,700,2,2,2,2,1,1,5,24.1919362118846,16.3368599192215
6,1,Dan,17,22,700,700,700,700,2,2,2,2,1,1,5,19.9851565497975,14.1668141126543
7,1,Dan,4,22,700,700,700,700,3,3,3,3,1,1,5,25.5484700144827,17.3909044413119
8,1,Dan,8,22,700,700,700,700,3,3,3,3,1,1,5,25.9014362766926,17.3042312125892
9,1,Dan,17,22,700,700,700,700,3,3,3,3,1,1,5,29.9296316531964,19.4489375065753
10,1,Dan,4,22,700,700,700,700,4,4,4,4,1,1,5,23.3667438722955,16.864951994662
11,1,Dan,8,22,700,700,700,700,4,4,4,4,1,1,5,23.9005256942338,15.9146635137055
12,1,Dan,17,22,700,700,700,700,4,4,4,4,1,1,5,21.5045022545687,15.6551455799267
13,1,Dan,4,22,700,700,700,700,5,5,5,5,1,1,5,29.0021169610235,20.8194434114324
14,1,Dan,8,22,700,700,700,700,5,5,5,5,1,1,5,22.9759269862864,15.8126415731154
15,1,Dan,17,22,700,700,700,700,5,5,5,5,1,1,5,28.0315852553609,19.5777048772152
16,1,Dan,4,22,700,700,700,700,6,6,6,6,1,1,5,21.4253547161679,15.7357520113684
17,1,Dan,8,22,700,700,700,700,6,6,6,6,1,1,5,16.700241555302,13.0434708438465
18,1,Dan,17,22,700,700,700,700,6,6,6,6,1,1,5,16.146828069061,11.9985406608525
19,1,Dan,4,22,700,700,700,700,7,7,7,7,1,1,5,33.8321806564696,20.0683845649255
20,1,Dan,8,22,700,700,700,700,7,7,7,7,1,1,5,33.0727002086762,20.9223607658668
21,1,Dan,17,22,700,700,700,700,7,7,7,7,1,1,5,33.5395220558356,20.0849180524811
22,1,Dan,4,22,900,500,900,500,1,1,1,1,1,1,5,31.1733995709116,22.2722830184018
23,1,Dan,8,22,900,500,900,500,1,1,1,1,1,1,5,20.1771740243801,14.9367029599897
24,1,Dan,17,22,900,500,900,500,1,1,1,1,1,1,5,25.0891566661747,17.6510730439543
25,1,Dan,4,22,900,500,900,500,2,2,2,2,1,1,5,26.8258068785586,18.9156680783353
26,1,Dan,8,22,900,500,900,500,2,2,2,2,1,1,5,25.8169366182951,18.8510616700503
27,1,Dan,17,22,900,500,900,500,2,2,2,2,1,1,5,28.8461823521431,18.6074330274863
28,1,Dan,4,22,900,500,900,500,3,3,3,3,1,1,5,26.2960068254251,19.5920457401458
29,1,Dan,8,22,900,500,900,500,3,3,3,3,1,1,5,23.2277592655701,16.6970531851141
30,1,Dan,17,22,900,500,900,500,3,3,3,3,1,1,5,24.1244802439202,17.2323843714486
31,1,Dan,4,22,900,500,900,500,4,4,4,4,1,1,5,30.0298176506307,22.1152008536543
32,1,Dan,8,22,900,500,900,500,4,4,4,4,1,1,5,22.3549955892809,17.8286121599018
33,1,Dan,17,22,900,500,900,500,4,4,4,4,1,1,5,26.4024908713696,18.741637385085
34,1,Dan,4,22,900,500,900,500,5,5,5,5,1,1,5,25.7256811312553,19.7949789432131
35,1,Dan,8,22,900,500,900,500,5,5,5,5,1,1,5,19.846731213508,16.0144639941383
36,1,Dan,17,22,900,500,900,500,5,5,5,5,1,1,5,25.566285007173,20.5811140272022
37,1,Dan,4,22,900,500,900,500,6,6,6,6,1,1,5,22.593092506875,17.0897235696839
38,1,Dan,8,22,900,500,900,500,6,6,6,6,1,1,5,22.9219101588798,16.562705529908
39,1,Dan,17,22,900,500,900,500,6,6,6,6,1,1,5,22.9352801201326,17.6786794560431
40,1,Dan,4,22,900,500,900,500,7,7,7,7,1,1,5,31.334872706031,21.1013087534503
41,1,Dan,8,22,900,500,900,500,7,7,7,7,1,1,5,33.2292721494793,20.608228111662
42,1,Dan,17,22,900,500,900,500,7,7,7,7,1,1,5,29.5310271093694,20.6057499636528
43,1,Dan,8,22,900,900,500,500,1,1,1,1,1,1,5,26.8991041833458,19.356881154658
44,1,Dan,4,22,900,900,500,500,1,1,1,1,1,1,5,100.010015285745,32.8996123153135
