simulation_id,intersection_id,control_method,num_phases,seed,input1,input2,input3,input4,relflow1,relflow2,relflow3,relflow4,yellow_time,red_time,N_p,N_c,N_s,queue,delay,calc_time
1,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,4,2,3,32.6,20.9,0.53
2,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,4,2,4,31.1,20.8,0.2
3,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,4,2,5,24.2,16.8,0.16
4,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,4,2,6,30.9,18.4,0.09
5,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,5,2,3,39.6,24.6,9.9
6,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,5,2,4,21,15.6,1.24
7,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,5,2,5,24.5,16.7,3.23
8,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,5,2,6,28.8,17.2,1.87
9,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,6,2,3,28.6,18.7,18.92
10,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,6,2,4,20.3,14.8,7.75
11,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,6,2,5,23.5,16.2,9.08
12,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,6,2,6,24.8,17.5,9.74
13,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,4,2,3,32.3,22.2,0.34
14,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,4,2,4,24.2,16.7,0.1
15,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,4,2,5,22.4,16.2,0.16
16,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,4,2,6,27.4,17.4,0.13
17,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,5,2,3,31.5,20.7,4.44
18,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,5,2,4,20.5,15.3,1.14
19,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,5,2,5,21.9,15.2,1.59
20,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,5,2,6,22.5,14.6,0.33
21,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,6,2,3,36.2,23.7,20.11
22,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,6,2,4,23.9,16.7,6.55
23,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,6,2,5,23.7,15.4,9.72
24,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,6,2,6,23,15.1,6.32
25,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,4,2,3,31.7,20,2.45
26,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,4,2,4,22.1,15.7,2.66
27,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,4,2,5,24.9,17.1,1.52
28,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,4,2,6,28.4,18.5,3.08
29,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,5,2,3,21.6,15.8,13.14
30,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,5,2,4,19,14.5,6.99
31,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,5,2,5,31.1,20.5,11.3
32,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,5,2,6,26.3,17.3,3.3
33,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,6,2,3,29.1,20.1,30.16
34,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,6,2,4,27,18,26.21
35,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,6,2,5,31.2,20.6,25.49
36,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,6,2,6,36.8,22.1,23.65
