simulation_id,intersection_id,control_method,num_phases,seed,input1,input2,input3,input4,relflow1,relflow2,relflow3,relflow4,yellow_time,red_time,N_p,N_c,N_s,queue,delay,calc_time,success_rate
1,1,Dan,4,1,900,900,500,500,1,1,1,1,1,1,4,2,5,22.5,16.6,0.12,1
2,1,Dan,8,1,900,900,500,500,1,1,1,1,1,1,4,2,5,13.8,12.7,0.1,1
3,1,Dan,17,1,900,900,500,500,1,1,1,1,1,1,4,2,5,17.7,15.2,1.1,1
4,1,Dan,4,1,900,900,500,500,2,2,2,2,1,1,4,2,5,17.7,14.3,0.15,1
5,1,Dan,4,1,900,900,500,500,3,3,3,3,1,1,4,2,5,29.8,19.3,0.24,1
6,1,Dan,8,1,900,900,500,500,3,3,3,3,1,1,4,2,5,21.2,15.6,0.17,1
7,1,Dan,17,1,900,900,500,500,3,3,3,3,1,1,4,2,5,21.3,16.1,2.7,1
8,1,Dan,4,1,900,900,500,500,4,4,4,4,1,1,4,2,5,18.9,15.2,0.07,1
9,1,Dan,8,1,900,900,500,500,4,4,4,4,1,1,4,2,5,13.3,12.2,0.09,1
10,1,Dan,17,1,900,900,500,500,4,4,4,4,1,1,4,2,5,13.6,12.7,1.31,1
11,1,Dan,4,1,900,900,500,500,5,5,5,5,1,1,4,2,5,26.7,19.8,0.17,1
12,1,Dan,8,1,900,900,500,500,5,5,5,5,1,1,4,2,5,20.1,15.4,0.15,1
13,1,Dan,17,1,900,900,500,500,5,5,5,5,1,1,4,2,5,21.3,16.8,2.03,1
14,1,Dan,4,1,900,900,500,500,6,6,6,6,1,1,4,2,5,14.9,12.7,0.07,1
15,1,Dan,8,1,900,900,500,500,6,6,6,6,1,1,4,2,5,8,8.4,0.06,1
16,1,Dan,17,1,900,900,500,500,6,6,6,6,1,1,4,2,5,10.6,10.4,0.51,1
17,1,Dan,4,1,900,900,500,500,7,7,7,7,1,1,4,2,5,24.7,17.1,0.14,1
18,1,Dan,8,1,900,900,500,500,7,7,7,7,1,1,4,2,5,13.1,11.8,0.07,1
19,1,Dan,17,1,900,900,500,500,7,7,7,7,1,1,4,2,5,14,12.1,0.57,1
20,1,Dan,8,1,900,900,500,500,2,2,2,2,1,1,4,2,5,12.4,11.3,0.07,1
21,1,Dan,17,1,900,900,500,500,2,2,2,2,1,1,4,2,5,13.8,12,0.53,1
