simulation_id,intersection_id,control_method,num_phases,seed,input1,input2,input3,input4,relflow1,relflow2,relflow3,relflow4,yellow_time,red_time,N_p,N_c,N_s,queue,delay,speed,calc_time,success_rate
1,1,Dan,4,1,900,500,900,500,1,1,1,1,1,1,5,2,5,16.5,14.3,34.7,0.29,1
2,1,Dan,8,1,900,500,900,500,1,1,1,1,1,1,5,2,5,13.2,11.6,36.4,0.32,1
3,1,Dan,17,1,900,500,900,500,1,1,1,1,1,1,5,2,5,14.2,12,35.7,0.76,1
4,1,Dan,4,1,900,500,900,500,2,2,2,2,1,1,5,2,5,15.1,13.8,35.3,0.29,1
5,1,Dan,8,1,900,500,900,500,2,2,2,2,1,1,5,2,5,11.2,10.5,37.4,0.29,1
6,1,Dan,17,1,900,500,900,500,2,2,2,2,1,1,5,2,5,10.3,9.4,38.3,0.43,1
7,1,Dan,4,1,900,500,900,500,3,3,3,3,1,1,5,2,5,18.6,15.4,34.3,0.55,1
8,1,Dan,8,1,900,500,900,500,3,3,3,3,1,1,5,2,5,21.3,16.6,33.1,0.74,1
9,1,Dan,17,1,900,500,900,500,3,3,3,3,1,1,5,2,5,14.5,12.4,36.7,0.66,1
10,1,Dan,4,1,900,500,900,500,4,4,4,4,1,1,5,2,5,14.1,12.4,36,0.17,1
11,1,Dan,8,1,900,500,900,500,4,4,4,4,1,1,5,2,5,13.5,12,36.5,0.35,1
12,1,Dan,17,1,900,500,900,500,4,4,4,4,1,1,5,2,5,14.4,13,35.8,0.72,1
13,1,Dan,4,1,900,500,900,500,5,5,5,5,1,1,5,2,5,24.4,19.9,31.2,0.52,1
14,1,Dan,8,1,900,500,900,500,5,5,5,5,1,1,5,2,5,15.9,14.5,34.9,0.34,1
15,1,Dan,17,1,900,500,900,500,5,5,5,5,1,1,5,2,5,16,14.5,35.1,0.89,1
16,1,Dan,4,1,900,500,900,500,6,6,6,6,1,1,5,2,5,10,9.6,38.3,0.11,1
17,1,Dan,8,1,900,500,900,500,6,6,6,6,1,1,5,2,5,10.1,9.2,38.4,0.27,1
18,1,Dan,17,1,900,500,900,500,6,6,6,6,1,1,5,2,5,9.2,9.2,39.2,0.66,1
19,1,Dan,4,1,900,500,900,500,7,7,7,7,1,1,5,2,5,18.8,15.4,33.5,0.36,1
20,1,Dan,8,1,900,500,900,500,7,7,7,7,1,1,5,2,5,14.9,12.2,35.6,0.34,1
21,1,Dan,17,1,900,500,900,500,7,7,7,7,1,1,5,2,5,14.9,12.5,35.9,0.8,1
