simulation_id,intersection_id,control_method,num_phases,seed,input1,input2,input3,input4,relflow1,relflow2,relflow3,relflow4,yellow_time,red_time,N_p,N_c,N_s,queue,delay,speed,calc_time,success_rate
1,1,Dan,4,1,900,500,900,500,1,1,1,1,1,1,5,2,5,18.8,15.4,33.4,0.5,1
2,1,Dan,8,1,900,500,900,500,1,1,1,1,1,1,5,2,5,14.7,12.9,34.9,0.4,1
3,1,Dan,17,1,900,500,900,500,1,1,1,1,1,1,5,2,5,14.7,12.9,34.9,0.86,1
4,1,Dan,4,1,900,500,900,500,2,2,2,2,1,1,5,2,5,14.9,13.5,34.6,0.34,1
5,1,Dan,8,1,900,500,900,500,2,2,2,2,1,1,5,2,5,12,11.3,36.6,0.3,1
6,1,Dan,17,1,900,500,900,500,2,2,2,2,1,1,5,2,5,12,11.3,36.6,0.52,1
7,1,Dan,4,1,900,500,900,500,3,3,3,3,1,1,5,2,5,19.2,17.1,33.4,0.66,1
8,1,Dan,8,1,900,500,900,500,3,3,3,3,1,1,5,2,5,18.1,14.7,34.3,0.63,1
9,1,Dan,17,1,900,500,900,500,3,3,3,3,1,1,5,2,5,21.4,17,33,1.02,1
10,1,Dan,4,1,900,500,900,500,4,4,4,4,1,1,5,2,5,16.2,14.8,34.2,0.27,1
11,1,Dan,8,1,900,500,900,500,4,4,4,4,1,1,5,2,5,11.7,10.9,37,0.35,1
12,1,Dan,17,1,900,500,900,500,4,4,4,4,1,1,5,2,5,12.5,11.1,36.5,0.7,1
13,1,Dan,4,1,900,500,900,500,5,5,5,5,1,1,5,2,5,20.7,17.7,32.4,0.48,1
14,1,Dan,8,1,900,500,900,500,5,5,5,5,1,1,5,2,5,18.9,15.5,33.2,0.56,1
15,1,Dan,17,1,900,500,900,500,5,5,5,5,1,1,5,2,5,16.2,14.2,34.7,0.73,1
16,1,Dan,4,1,900,500,900,500,6,6,6,6,1,1,5,2,5,11.1,11.2,37,0.18,1
17,1,Dan,8,1,900,500,900,500,6,6,6,6,1,1,5,2,5,8.9,8.8,38.6,0.28,1
18,1,Dan,17,1,900,500,900,500,6,6,6,6,1,1,5,2,5,8.6,8.6,39.2,0.47,1
19,1,Dan,17,1,700,700,700,700,1,1,1,1,1,1,5,2,5,14.4,12.5,35.2,0.79,1
20,1,Dan,17,1,900,900,500,500,1,1,1,1,1,1,5,2,5,14.6,13.1,34.7,0.64,1
21,1,Dan,17,1,900,900,500,500,2,2,2,2,1,1,5,2,5,10.3,10.2,37.6,0.47,1
22,1,Dan,17,1,900,900,500,500,7,7,7,7,1,1,5,2,5,12.8,11.5,36.7,0.45,1
23,1,Dan,4,1,700,700,700,700,3,3,3,3,1,1,5,2,5,18.7,14.7,34,0.56,1
24,1,Dan,4,1,700,700,700,700,4,4,4,4,1,1,5,2,5,15.7,13.8,34.7,0.33,1
25,1,Dan,4,1,900,900,500,500,3,3,3,3,1,1,5,2,5,28,17.8,29.9,1.03,1
26,1,Dan,4,1,900,900,500,500,4,4,4,4,1,1,5,2,5,15.7,13.6,34.6,0.31,1
27,1,Dan,8,1,700,700,700,700,3,3,3,3,1,1,5,2,5,17.6,13.6,34.4,0.75,1
28,1,Dan,8,1,700,700,700,700,4,4,4,4,1,1,5,2,5,11.7,10.7,37.3,0.33,1
29,1,Dan,8,1,900,900,700,700,3,3,3,3,1,1,5,2,5,28.8,19.1,30.3,1.55,1
30,1,Dan,8,1,900,900,700,700,4,4,4,4,1,1,5,2,5,18.7,14,33.8,0.67,1
31,1,Dan,8,1,900,900,500,500,4,4,4,4,1,1,5,2,5,12.9,11.8,35.8,0.4,1
32,1,Dan,8,1,900,900,500,500,3,3,3,3,1,1,5,2,5,18.4,13.6,34.2,0.78,1
33,1,Dan,17,1,700,700,700,700,4,4,4,4,1,1,5,2,5,11.9,10.6,36.8,0.77,1
34,1,Dan,17,1,700,700,700,700,3,3,3,3,1,1,5,2,5,17.2,13.6,34.7,0.8,1
35,1,Dan,17,1,900,900,500,500,4,4,4,4,1,1,5,2,5,12.7,11.2,36.1,0.64,1
36,1,Dan,17,1,900,900,500,500,3,3,3,3,1,1,5,2,5,19.2,14.9,33.6,1.01,1
