time,queue_length,delay_time
0,0,0
10,0,0
20,0.125,0.208333333333333
30,5.975,0.575
40,19.3,3.91666666666667
50,19.225,3.05833333333333
60,26.95,5.69166666666667
70,38.275,12.725
80,34.075,12.0166666666667
90,30.3,19.2166666666667
100,30.3,22.85
110,35.825,17.35
120,44.4,23.0416666666667
130,54.875,25.3833333333333
140,67.025,23.8083333333333
150,51.2,25.725
160,39.9,29.0583333333333
170,53.775,28.7166666666667
180,42.325,26.5333333333333
190,53.975,32.5916666666667
200,57.25,35.9666666666667
210,55.925,26.7583333333333
220,47.9,25.025
230,36.55,32.375
240,40,28.0083333333333
250,41.325,25.175
260,52.025,28.35
270,55.35,39.8833333333333
280,60.925,34.8833333333333
290,49.825,28.7083333333333
300,51.025,29.0916666666667
310,39.9,35.2333333333333
320,34.75,31.7333333333333
330,40.875,30.9833333333333
340,45.325,28.5416666666667
350,52.35,38.825
360,47.9,37.3083333333333
370,28.725,31.4833333333333
380,32.5,25.5833333333333
390,44.075,32.4916666666667
400,39.7,32.3583333333333
410,24.875,27.3583333333333
420,32.65,29.3916666666667
430,49.575,32.225
440,39.35,25.6333333333333
450,21.925,22.25
460,29.6,26.5416666666667
470,42.1,35.0666666666667
480,26.65,25.0666666666667
490,28.2,23.3583333333333
500,34.1,23.725
