simulation_id,intersection_id,control_method,num_phases,seed,input1,input2,input3,input4,relflow1,relflow2,relflow3,relflow4,yellow_time,red_time,N_p,N_c,N_s,queue,delay,speed,calc_time,success_rate
1,1,Dan,4,1,900,900,500,500,1,1,1,1,1,1,5,2,5,19.1,15,32.9,0.48,1
2,1,Dan,8,1,900,900,500,500,1,1,1,1,1,1,5,2,5,14.6,13.1,34.7,0.39,1
3,1,Dan,17,1,900,900,500,500,1,1,1,1,1,1,5,2,5,15.2,12.5,35.2,0.59,1
4,1,Dan,4,1,900,900,500,500,2,2,2,2,1,1,5,2,5,19.1,14.7,32.6,0.53,1
5,1,Dan,8,1,900,900,500,500,2,2,2,2,1,1,5,2,5,10.3,10.2,37.6,0.3,1
6,1,Dan,17,1,900,900,500,500,2,2,2,2,1,1,5,2,5,10.8,10,37.5,0.56,1
7,1,Dan,4,1,900,900,500,500,3,3,3,3,1,1,5,2,5,31,19,28.7,1.17,1
8,1,Dan,8,1,900,900,500,500,3,3,3,3,1,1,5,2,5,19.8,15,33.7,0.81,1
9,1,Dan,17,1,900,900,500,500,3,3,3,3,1,1,5,2,5,17.7,13.6,34.1,0.67,1
10,1,Dan,4,1,900,900,500,500,4,4,4,4,1,1,5,2,5,14.9,12.8,35.1,0.24,1
11,1,Dan,8,1,900,900,500,500,4,4,4,4,1,1,5,2,5,12.9,11.8,35.8,0.4,1
12,1,Dan,17,1,900,900,500,500,4,4,4,4,1,1,5,2,5,12.8,11.9,36.2,0.65,1
13,1,Dan,4,1,900,900,500,500,5,5,5,5,1,1,5,2,5,28.2,20.8,29.3,0.72,1
14,1,Dan,8,1,900,900,500,500,5,5,5,5,1,1,5,2,5,17.8,14.2,33.4,0.57,1
15,1,Dan,17,1,900,900,500,500,5,5,5,5,1,1,5,2,5,16.2,13.8,34.2,0.7,1
16,1,Dan,4,1,900,900,500,500,6,6,6,6,1,1,5,2,5,12.4,11.6,35.9,0.19,1
17,1,Dan,8,1,900,900,500,500,6,6,6,6,1,1,5,2,5,9.7,9.5,38,0.25,1
18,1,Dan,17,1,900,900,500,500,6,6,6,6,1,1,5,2,5,8.4,8,39.1,0.54,1
19,1,Dan,4,1,900,900,500,500,7,7,7,7,1,1,5,2,5,20.8,15.8,31.8,0.68,1
20,1,Dan,8,1,900,900,500,500,7,7,7,7,1,1,5,2,5,12.8,11.5,36.7,0.28,1
21,1,Dan,17,1,900,900,500,500,7,7,7,7,1,1,5,2,5,13.2,11.6,35.9,0.62,1
