simulation_id,intersection_id,control_method,num_phases,seed,input1,input2,input3,input4,relflow1,relflow2,relflow3,relflow4,yellow_time,red_time,N_p,N_c,N_s,queue,delay,calc_time,success_rate
1,1,Dan,4,1,800,800,600,600,1,1,1,1,1,1,4,2,5,17.3,14.4,0.06,1
2,1,Dan,8,1,800,800,600,600,1,1,1,1,1,1,4,2,5,14.8,12.6,0.07,1
3,1,Dan,17,1,800,800,600,600,1,1,1,1,1,1,4,2,5,15.5,12.5,0.1,1
4,1,Dan,4,1,800,800,600,600,2,2,2,2,1,1,4,2,5,14.9,12.8,0.05,1
5,1,Dan,8,1,800,800,600,600,2,2,2,2,1,1,4,2,5,13.5,11.7,0.07,1
6,1,Dan,17,1,800,800,600,600,2,2,2,2,1,1,4,2,5,10.2,10.5,0.07,1
7,1,Dan,4,1,800,800,600,600,3,3,3,3,1,1,4,2,5,23,16.9,0.08,1
8,1,Dan,8,1,800,800,600,600,3,3,3,3,1,1,4,2,5,17.6,13.3,0.09,1
9,1,Dan,17,1,800,800,600,600,3,3,3,3,1,1,4,2,5,16.9,12.8,0.13,1
10,1,Dan,4,1,800,800,600,600,4,4,4,4,1,1,4,2,5,15.7,14.3,0.05,1
11,1,Dan,8,1,800,800,600,600,4,4,4,4,1,1,4,2,5,14.2,12,0.07,1
12,1,Dan,17,1,800,800,600,600,4,4,4,4,1,1,4,2,5,16.4,13.4,0.11,1
13,1,Dan,4,1,800,800,600,600,5,5,5,5,1,1,4,2,5,20.7,17,0.06,1
14,1,Dan,8,1,800,800,600,600,5,5,5,5,1,1,4,2,5,17.5,14.5,0.08,1
15,1,Dan,17,1,800,800,600,600,5,5,5,5,1,1,4,2,5,22.3,17,0.13,1
16,1,Dan,4,1,800,800,600,600,6,6,6,6,1,1,4,2,5,14.7,12.5,0.05,1
17,1,Dan,8,1,800,800,600,600,6,6,6,6,1,1,4,2,5,9.8,9,0.05,1
18,1,Dan,17,1,800,800,600,600,6,6,6,6,1,1,4,2,5,11.9,10.2,0.08,1
19,1,Dan,4,1,800,800,600,600,7,7,7,7,1,1,4,2,5,15.2,13.3,0.06,1
20,1,Dan,8,1,800,800,600,600,7,7,7,7,1,1,4,2,5,18.8,14.2,0.08,1
21,1,Dan,17,1,800,800,600,600,7,7,7,7,1,1,4,2,5,15.1,12.7,0.12,1

